,moviename,year,description,cast,imdb_rating,imdb_ratingbasedon,tomatoes_audscore,tomatoes_rating,tomatoes_ratingbasedon,rank
64,Witness for the Prosecution,1957,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.4,"88,875",,,,65
65,Oldeuboi,2003,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.","Chan-wook Park (dir.), Min-sik Choi, Ji-tae Yu",8.3,"448,341",,,,66
66,The Dark Knight Rises,2012,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.","Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.3,"1,360,722",,,,67
67,American Beauty,1999,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.3,"974,354",,,,68
68,Aliens,1986,"Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?","James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.3,"589,489",,,,69
69,Once Upon a Time in America,1984,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.","Sergio Leone (dir.), Robert De Niro, James Woods",8.3,"271,126",,,,70
70,Coco,2017,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.3,"256,147",15%,2.2/5,478,71
71,Das Boot,1981,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.","Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.3,"205,062",,,,72
72,Citizen Kane,1941,"Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.","Orson Welles (dir.), Orson Welles, Joseph Cotten",8.3,"357,073",,,,73
73,Braveheart,1995,"When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.","Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.3,"877,506",57%,3.5/5,20,74
74,Vertigo,1958,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.3,"313,265",93%,4.2/5,"102,089",75
75,North by Northwest,1959,"A hapless New York City advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive.","Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.3,"266,439",94%,4.2/5,"79,364",76
76,Reservoir Dogs,1992,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.3,"805,717",,,,77
77,Star Wars: Episode VI - Return of the Jedi,1983,"After a daring mission to rescue Han Solo from Jabba the Hutt, the rebels dispatch to Endor to destroy a more powerful Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.","Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.3,"844,454",,,,78
78,Your Name.,2016,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.3,"122,919",,,,79
79,M,1931,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.","Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.3,"124,528",,,,80
80,Amadeus,1984,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporary composer who was insanely jealous of Mozart's talent and claimed to have murdered him.","Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.3,"330,198",95%,3.9/5,"179,835",81
81,Dangal,2016,Former wrestler,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.3,"115,269",94%,4.5/5,"2,191",82
82,Requiem for a Dream,2000,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.3,"687,903",,,,83
83,Taare Zameen Par,2007,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.3,"136,416",,,,84
84,3 Idiots,2009,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.3,"291,917",,,,85
85,Lawrence of Arabia,1962,The story of,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.3,"237,078",,,,86
86,Eternal Sunshine of the Spotless Mind,2004,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.","Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.3,"808,948",,,,87
87,2001: A Space Odyssey,1968,"After discovering a mysterious artifact buried beneath the lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer HAL 9000.","Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.3,"530,290",,,,88
88,Toy Story,1995,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.3,"773,797",,,,89
89,A Clockwork Orange,1971,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.3,"675,098",,,,90
90,Amélie,2001,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.3,"641,025",,,,91
91,Double Indemnity,1944,An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.3,"124,497",,,,92
92,Singin' in the Rain,1952,A silent film production company and cast make a difficult transition to sound.,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.3,"191,865",,,,93
93,Taxi Driver,1976,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.","Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.3,"623,105",,,,94
94,Inglourious Basterds,2009,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.3,"1,094,502",,,,95
95,Full Metal Jacket,1987,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.3,"596,510",,,,96
96,To Kill a Mockingbird,1962,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.","Robert Mulligan (dir.), Gregory Peck, John Megna",8.3,"266,573",,,,97
97,Bicycle Thieves,1948,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.","Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.3,"123,474",,,,98
98,The Kid,1921,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.","Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.3,"93,594",48%,3/5,"60,606",99
99,The Sting,1973,Two grifters team up to pull off the ultimate con.,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.3,"215,171",,,,100
100,Good Will Hunting,1997,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.","Gus Van Sant (dir.), Robin Williams, Matt Damon",8.3,"750,485",,,,101
101,Toy Story 3,2010,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.3,"666,671",,,,102
102,The Hunt,2012,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.","Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.3,"234,921",83%,3.9/5,116,103
103,Snatch,2000,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.3,"706,780",93%,4/5,"394,076",104
104,Scarface,1983,"In Miami in 1980, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.2,"651,187",93%,4.1/5,"488,005",105
